ratio,ratio_err,bin
0.025935215386521545,0.07328975755337916,0.15
0.0053121137821703565,0.14179648188739877,0.3
0.000285249888316779,0.5774326078681727,0.44999999999999996
0.00036853843002542083,0.5000921261202843,0.6
9.271793396579928e-05,1.0000463578924559,0.75
9.513249125734911e-05,1.0000475651144085,0.8999999999999999
0.0,inf,1.05
0.0,inf,1.2
0.0,inf,1.3499999999999999
0.0,inf,1.5
0.0,inf,1.65
0.0,inf,1.7999999999999998
0.0,inf,1.95
0.0,inf,2.1
0.0,inf,2.25
0.0,inf,2.4
0.0,inf,2.55
0.0,inf,2.6999999999999997
0.0,inf,2.85
0.0,inf,3.0
0.0,inf,3.15
0.0,inf,3.3
0.0,inf,3.4499999999999997
0.0,inf,3.5999999999999996
0.0,inf,3.75
0.0,inf,3.9
0.0,inf,4.05
0.0,inf,4.2
0.0,inf,4.35
0.0,inf,4.5
0.0,inf,4.6499999999999995
0.0,inf,4.8
0.0,inf,4.95
0.0,inf,5.1
0.0,inf,5.25
0.0,inf,5.3999999999999995
0.0,inf,5.55
0.0,inf,5.7
0.0,inf,5.85
0.0,inf,6.0
0.0,inf,6.1499999999999995
0.0,inf,6.3
0.0,inf,6.45
0.0,inf,6.6
0.0,inf,6.75
0.0,inf,6.8999999999999995
0.0,inf,7.05
0.0,inf,7.199999999999999
0.0,inf,7.35
0.0,inf,7.5
0.0,inf,7.6499999999999995
0.0,inf,7.8
0.0,inf,7.949999999999999
0.0,inf,8.1
0.0,inf,8.25
0.0,inf,8.4
0.0,inf,8.549999999999999
0.0,inf,8.7
0.0,inf,8.85
0.0,inf,9.0
0.0,inf,9.15
0.0,inf,9.299999999999999
0.0,inf,9.45
0.0,inf,9.6
0.0,inf,9.75
0.0,inf,9.9
0.0,inf,10.049999999999999
0.0,inf,10.2
0.0,inf,10.35
0.0,inf,10.5
0.0,inf,10.65
0.0,inf,10.799999999999999
0.0,inf,10.95
0.0,inf,11.1
0.0003502285048509249,1.000175098922609,11.25
0.0,inf,11.4
0.0,inf,11.549999999999999
0.0,inf,11.7
0.0,inf,11.85
0.0,inf,12.0
0.0,inf,12.15
0.0,inf,12.299999999999999
